Tibetan,English,Author
ཁྱེད་ཚོས་རང་གི་རྨི་ལམ་རྟོགས་ཐུབ། དེ་ནས་ཁྱེད་ཀྱི་ལས་ཀ་ནི་ཕྱིར་གཟིགས་ཏེ། ཁྱེད་ཚོས་སྒྲུབ་ཀྱིན་པ་གཅིག་པ་སྒྲུབ་མཁན་ཚོར་རོགས་རམ་བྱེད་རྒྱུ་དེ་རེད།,"You too can realize your dreams, and then your job is to reach back and to help someone just like you do the same thing.",ted2019
གང་ལགས་ཤེ་ན། ཡིད་སྐྱོ་བ་ཞིག་ལ། སྐྱེས་པ་ཚོར་མཚོན་ན། གཉིད་མ་ཁུག་པ་བྱེད་རྒྱུ་ནི་སྐྱེས་པའི་མཚོན་རྟགས་ལྟ་བུ་ཞིག་ཆགས་པ་རེད།,"because unfortunately, for men, sleep deprivation has become a virility symbol.",ted2019
འདིས་ཏག་ཏག་ང་ཚོས་ད་སྔོན་མཐོང་བའི་ཆོས་ཉིད་དེ་འགྲེལ་བཤད་བྱས་ཡོད།,And so that explains this pattern that we've seen before.,ted2019
ཨིན་ཡུལ་གྱི་བུད་མེད་སྨན་པ་དང་ཤོས་ཀྱི་མིང་བཏགས་པའི་སློབ་གྲྭ་འདི་དང་། མཐའ་འཁོར་གྱི་ཁང་བརྩེགས་མེག་སེས་ཁན་གྱི་སྒྱུ་རྩལ་བ་ཧྥི་རས་རྡ་ཁ་ལོ་དང་མེ་རིས་སིས་ཁོལ་གྱི་་མིང་ཡོད་པ། ཁོང་ནི་འཇའ་མེ་ཁན་ནས་སྨན་ཞབས་མི་རིཊ་ནག་པོའི་ཧྥི་ལོ་རིན་སི་ན་ཡེ་ཊིན་གལ་ལ་གྲགས་པ། ཨིན་ཇིའི་རྩོམ་པ་པོ་ཨེས་མི་ལི་བྷི་རོན་ཊིས་བཅས་ཀྱི་མིང་བཏགས་ཡོད་པ། ཕོ་མོ་དང་།མི་རིགས་དབྱེ་འབྱེད།མ་རིག་པ་བཅས་ལ་འཐབ་རྩོད་བྱེད་མཁན་ཚོར་ཆེ་བསྟོད་དང་། ཁོང་ཚོའི་རྣམ་ཤེས་ཀྱི་ཚོར་ཤུགས་ཀྱི་རྗེས་བསྙེགས་ཡོད།,"And this school, named after the U.K.'s first female doctor, and the surrounding buildings named for Mexican artist Frida Kahlo, Mary Seacole, the Jamaican nurse known as the ""black Florence Nightingale,"" and the English author, Emily Bronte, honor women who fought sexism, racism and ignorance, to pursue their passions to feed their own souls.",ted2019
འོན་ཀྱང་། ད་ལྟ་ང་ཚོར་ཝེ་པོ་ཡོད། ངས་དེ་ལ་ཝེ་པོ་ཞུ་གཏུག་ཅེས་ལབ་ཀྱི་ཡོད།,"But now we have Weibo, so I call it the Weibo petition.",ted2019
དེ་ནི་ཨིན་ཡུལ་གྱི་རྒྱལ་མོའི་སེམས་ཐག་གཙང་གཅད་མིང་གི་གྲུ་གཟིངས་ཀྱི་ཤིང་རྒྱུ་ལས་བཟོས་ཤིང་། རྒྱལ་མོ་བིག་ཁྲོ་རི་ཡས་གནང་བ་རེད།,It was built by the timber of Her Majesty's Ship Resolute and given by Queen Victoria.,ted2019
དེའི་གདོད་མའི་འབྱུང་རྐྱེན་དེ་ཅི་ཞིག་རེད།,What's the origin of this?,ted2019
ང་ཚོའི་མི་ཚེའི་ནང་དུ་ཅིའི་་ཕྱིར་འཕྲིན་ཡིག་དང་གློག་འཕྲིན་༼གཉིས་ཀ་༽བྱེད་མ་ཐུབ་པ་ཡིན་ནམ།,Why can't we have letter writing and email exchange in our lives?,ted2019
དེ་ནི་ཌེ་ཌི་(TED)ཆེན་པོ་ཞིག་དང་འདྲ་པོ་རེད།,"It's like a big TED, right?",ted2019
ལག་རྩལ་ཐོག་རྙོག་འཛིང་ཏོག་ཙམ་ཡིན་མོད། འོན་ཀྱང་མི་རྣམས་ཀྱི་རང་བཞིན་ངང་སྤྱད་ཐུབ།,"So, technically, it's a little bit complex, but it gives you an output which is more intuitive to use, in some sense.",ted2019
འདི་ལས་མཐོང་ཐུབ་པའི་སྣང་ཚུལ་མཚར་བོ་ཞིག་ནི། AlfredདངJay-Zརྣམ་གཉིས་ཀྱི་བར་སྐབས་སུ་གཟུགས་འགྱུར་བའི་བྱ་ཚིག་དག་གཟུགས་མི་འགྱུར་བར་གྱུར་ཡོད།,Now what's interesting about that is irregular verbs between Alfred and Jay-Z have become more regular.,ted2019
ཁྱེད་རང་གིས་ཁོའི་ཁ་པར་ཨང་གྲངས་མ་བརྗེད་པ་ཆེད་དུ་འབྲི་དགོས་རེད།,Write down his phone number before you forget.,Tatoeba-2020.08
ཞིབ་བཤེར་གྱི་རྒྱ་ལས་ཀྱང་རྒྱ་ནག་དྲ་རྒྱ་ཇི་ལྟར་ཡར་རྒྱས་འགྲོ་གི་ཡོད་པ་རེད་ཅེ་ན། རྒྱུ་མཚན་གྱི་ཆ་ཤས་གཅིག་ནི་རྒྱའི་སྐད་ཡིག་རེད།,"Why is Chinese social networking, even within the censorship, so booming?",ted2019
དེར་བརྟེན། ཆབ་སྲིད་དང་འབྲེལ་བའི་གནད་དོན་རེ་བྱུང་ཚེ་སྤྲོ་བ་འདྲེན་པའི་དུས་སྐབས་ཤིག་འབྱུང་གི་རེད། ཝེ་པོ་དྲ་ཐོག་ཏུ་བློ་ཡུལ་ལས་འདས་བའི་སྒྲུང་རྐྱང་རྐྱང་མཐོང་།,"So, when some very political, exciting moments happened, you can see on Weibo, you see a lot of very weird stories happened.",ted2019
ང་ནམ་ཡང་འཛིན་གྲྭར་གཡོལ་མྱོང་མེད། དགོངས་དག ཁྱེད་ཚོ་གང་རུང་ཞིག་འཛིན་གྲྭར་གཡོལ་གྱི་ཡོད་མེད་མི་ཤེས།,"Sorry, I don't know if anybody is cutting class.",ted2019
ལག་རྩལ་འདིའི་ཆེས་སྤྲོ་བའི་གནད་ཀ་ཞིག་ནི་་་ ཁྱོད་ཀྱིས་ཨང་ཀིའི་འཇིག་རྟེན་འཁྱེར་ནས་འགྲོ་ཆོག ས་ཆ་གང་དུ་ཡིན་ཡང་འགྲིག་གི།,But the most interesting thing about this particular technology is that you can carry your digital world with you wherever you go.,ted2019
འདྲ་སྐུ་འདིDavid Verrocchio བཞེངས་པ་རེད། ལོ༡༥ཡིན་པའིda Vinci་དཔེ་བྱས་པ་རེད།,"It's a statue made by Verrocchio, of David, for which Leonardo posed as a boy of 15.",ted2019
དེས་ཁྱེད་རང་གཅིག་པུར་ཞིབ་བཤེར་བྱེད་པ་ཁོ་ན་མ་རེད།,That's not only to censor you.,ted2019
ཁྱེད་ཀྱིས་རྒྱས་སྲས་དེའི་སྐོར་ལ་བསྟན་བཤིག་སློང་བའི་སྐད་ཆ་ག་རེ་བཤད་ཀྱང་ཆོག སྐབས་དེར་ཁྱེད་རང་ཨ་རིར་ཡོད་པ་དང་གཅིག་མཚུངས་ཡིན།,"You can almost joke everything about these princelings, everything!",ted2019
ང་ཚོས་དངོས་ཡོད་ཐོག་གཉིད་ཁུག་ཞིང་རིམ་པ་མཐོ་ཤོས་བར་སླེབས་རྒྱུ་ཡིན།,We are literally going to sleep our way to the top -- literally --,ted2019
ཁོང་ཚོས་སྒྲུང་གཅིག་བཟོས་བ་དེ་སྒྲུང་དེ་ཁོ་ན་ཆགས་པ་རེད།,They make one story become the only story.,ted2019
དཔེ་གཞན་པ་ཞིག་ནི། འདི་གྲངས་རིག་དང་འབྲེལ་བ་ཏོག་ཙམ་འདུག,Another example: a little bit more mathematical.,ted2019
དེར་བརྟེན། ངས་ཧྥེ་ཏིས་ཀྱི་ནང་མིར་རྙིང་རྗེ་དྲག་པོ་སྐྱེས་བྱུང་།,So I felt enormous pity for Fide's family.,ted2019
རྒྱ་ནག་རྒྱལ་ཁབ་ཀྱི་དྲ་རྒྱ་སྟངས་འཛིན་སྲིད་ཇུས་འདི་སྟབས་བདེ་མོ་ཞིག་སྟེ། བཀག་འགོག་དང་འདྲ་བཟོ་བྱེད་རྒྱུ་ཙམ་རེད།,Sometimes this Chinese national Internet policy is very simple: Block and clone.,ted2019
མ་ཟད། སེ་ན་(Sina)བཟོ་ཚོང་ཁང་ནི་ ཌིས་ཌིར་འདྲ་བཟོ་བྱེད་མཁན་རེད།,"And also, the clone, Sina company is the guy who cloned Twitter.",ted2019
Hnugginn: འདི་དགའ་བའི་ཐ་སྙད་ཅིག་རེད་དམ། ཡང་ན་སྐྱོ་བའི་ཐ་སྙད་ཅིག་རེད།,"Hnugginn: is it a happy word, or a sad word?",ted2019
སེམས་ཅན་འདི་ཁྱད་མཚར་པོ་འདུག་,It's a very bizarre animal.,Tatoeba-2020.08
སྔ་མོ་དཔལ་ཡོན་དར་བ་ནས་བཟུང་སྟེ་ཡི་གེ་བྲིས་པ་ལ་ ད་ལྟ་མིའི་རིགས་ཀྱིས་དེབ་ཐེར་དུང་ཕྱུར་13ཙམ་ཞིག་བྲིས་ཚར་ཡོད་ཅིང་།,So there's about 130 million books that have been written since the dawn of time.,ted2019
མོས་ང་ལ་མོ་རང་ལོ5ཡིན་དུས། དེ་ནས་པར་ལེན་སྐབས་ཀྱི་ཚོར་བ་བཤད་སོང་།,And she describes to me the feeling she felt as a five-year-old standing in that exact spot.,ted2019
དེ་བས་Steve Pinkerདང་ངེད་གཉིས་ཀྱིས་ འདས་ཟིན་པའི་དུས་རབས་གཉིས་རིང་གི་དམག་འཁྲུག་གི་ཡ་ང་བའི་ཚད་ལ་བསམ་གཞིགས་བྱས་པ་ཡིན།,So here Steve Pinker and I were considering the magnitude of wars during the last two centuries.,ted2019
སྒྲུང་གི་མགོ་འཛུགས་ས་དེ་ ཨ་ཧྤེ་རི་ཁའི་རྒྱལ་ཁབ་ཀྱི་ཕམ་ཁ་ནས་བཙུགས་རྒྱུ་ལས་ དབང་བསྒྲུར་བའི་བཟོས་བའི་ཨ་ཧྤེ་རི་ཁའི་རྒྱལ་ཁབ་སྐོར་ནས་མིན་ན་ སྤྱི་ཡོངས་ནས་སྒྲུང་གསར་བ་ཞིག་གྲུབ་ཁོ་ཐག་རེད།,"Start the story with the failure of the African state, and not with the colonial creation of the African state, and you have an entirely different story.",ted2019
དེར་བརྟེན། རྒྱ་མི་ཚོས་ཟིན་བྲིས་སྤེལ་བ་འདི་གསར་ལམ་ཞིག་ལས་ གསར་འགྱུར་གྱི་མགོ་བརྗོད་ལྟ་བུ་ཞིག་ངོས་འཛིན་གྱི་མེད།,"So because of this, the Chinese really regard this microblogging as a media, not only a headline to media.",ted2019
ད་བྱས་ན། ཆ་རྐྱེན་ལོངས་པའི་རི་མོ་གསུམ་ལྷག་འདུག,And look what happens -- only three candidates remain that fit the bill.,ted2019
ཡིན་ན་འང་། རྒྱ་ནག་གི་ཟིན་བྲིས་བ་བརྒྱ་ཆ་༩༩ ཨ་རིའི་གཞུང་ཚབ་ཀྱི་ཕྱོགས་སུ་ལངས་ཡོད།,But 99 percent of Chinese microbloggers stand firmly on the Embassy's side.,ted2019
ཡག་པོར་ཙོག་སྡོད་ཨཱ། གདོང་རིས་འདི་དག་ཆེ་རུ་བཏང་ན། ང་ཅག་གིས་འདི་ཚོ་ཚང་མའི་དཔྲལ་ཞེང་ཆེ་ལ། སྨིན་མ་དྲང་བ། སྣ་གཟེངས་སུ་མཐོ་བ། མཆུ་ཀྱོག་པ།མ་ནེ་ཆུང་ལ་ཟླུམ་པ་ཤེས་ཐུབ།,"And hold onto your seats, because if we zoom in on those faces, remark how they have the same broad forehead, the horizontal eyebrows, the long nose, the curved lips and the small, well-developed chin.",ted2019
ཆགས་བཞག་ན། “Today i walk”དེ་རིང་ང་ལམ་ལ་བགྲོད།“Yesterday I walked”ཁ་སང་ང་ལམ་ལ་ཕྱིན།,"""Today I walk.",ted2019
(ཐལ་མོ་རྡེབ་སྒྲ།) འདི་ནི་ང་དབྱིན་ཡུལ་དུ་ཡོང་ཐེངས་དང་པོ་མ་རེད་རུང་། ངས་བརྗོད་དགོས་པ་ཞིག་ལ་འདི་ནི་ངའི་ གཞུང་འབྲེལ་གྱི་གཟིགས་སྐོར་དང་པོ་ཡིན་པས་དགའ་བ་སྐྱེས་ཡོད།,"(Applause) And while this is not my first visit to the U.K., I have to say that I am glad that this is my first official visit.",ted2019
ཁོང་ནངས་སྔ་ཙམ་ལངས་བ་དང་ལས་ཀར་བརྩོན་པ་ཤུགས་ཆེ་ཙམ་བྱས་ཡོད།,He just woke up a little earlier and worked a little harder.,ted2019
"ཁོང་ཚོས་ཕལ་ཆེར་""ཆུ་ཚོད་༨་པ་ང་ལ་མཚོན་ན་འཕྱི་དྲགས་འདུག་ལབ་གི་རེད། འོན་ཀྱང་།མི་འགྲིག་མི་འདུག། ངས་ཊེ་ནས་སི་བརྩེད་མོ་ཐེངས་གཅིག་བརྩིས་ཏེ། ཁ་པར་བརྒྱུད་ཚོགས་འདུ་ཁག་ཅིག་བྱས་རྗེས་ཆུ་ཚོད་༨་གྱི་ཐོག་ཏུ་ཐུག་ཆོག།""","they're likely to tell you, ""Eight o'clock is too late for me, but that's OK, I can get a game of tennis in and do a few conference calls and meet you at eight.""",ted2019
ང་ནི་ངལ་རྩོལ་གྲལ་རིམ་གྱི་སྤྱི་ཚོགས་ཤིག་གི་བུ་རྒྱུད་རེད།,And I was the product of a working-class community.,ted2019
གྱང་མདུན་དུ་ལང་ནས་རི་མོ་འབྲི་ཆོག,"You stop by a wall, and start painting on that wall.",ted2019
གནད་དོན་གཅིག་ནི་ང་ལ་མཚོན་ན་ཧ་ཅང་ཁག་པོ་འདུག།,Something is very challenging to me.,ted2019
1འོད་ཀྱི་ཕྲེང་བ་ཞིག་དང་།,One is a flash of white light.,ted2019
ང་ཚོར་ཊཡེ་ཊ་ནིགསི་གྲུ་གཟིངས་ལ་གཞུ་མཁན་གྱི་འཁྱགས་རོམ་ ཧ་ཅང་མང་པོ་ཡོད་པ་རེད།,And we've had far too many icebergs hitting our Titanics.,ted2019
དེ་ཅུང་དགོད་བྲོ་བ་ཞིག་ཡིན་པ་ང་ཡིས་ཧ་གོ,Now I know that seems ludicrous.,ted2019
Samuel ནི་ལོ16 ཡིན། གཟུགས་རིང་ལ།མི་རྫིག་པོ་ཞིག་ཡོད།,He's very handsome.,ted2019
ང་ཚོས་དེ་ལས་མང་བའི་གནས་ཚུལ་ཤེས་པར་འདོད།,We want to know about things.,ted2019
Remi ལོ་ན22 ཡིན། གཟུགས་རིང་ཞིང་མི་ལྟ་བཟོ་དོད་པོ་ཞིག་ཡོད།,"Remi is 22, tall and very handsome.",ted2019
དེ་ལས་མང་པོ་ཞིགGoogleལྟ་བུའི་བཟོ་གྲྭས་གྲངས་རྩིས་ཅན་ཏུ་བསྒྱུར་ཚར་ཡོད་པ་ལྟ་བུ་རེད། ཧ་ལམ་དུང་ཕྱུར2ཙམ་བསྒྱུར་ཚར་ཡོད་པ་རེད།,Companies like Google have digitized many of them -- above 20 million actually.,ted2019
འདི་རྗེས་ང་ཚོས་མུ་མཐུད་ནས་དེ་ལས་ལེཊ་པའི་་་ སྤྱོད་མཁན་ལ་དམིགས་པའི་སྐེ་འདོཊ་ཅན་ཏེ་་་མི་མང་ཆེས་མཁྱེན་གསལ་གྱི་༼དབང་པོ་ཨང་དྲུག་པའི་སྒྲིག་ཆས༽སོ། །,"Later, we moved to a much better, consumer-oriented pendant version of that, that many of you now know as the SixthSense device.",ted2019
ངས་བསམ་ན་འདིར་བཞུགས་པ་རྣམས་ལས་ སྐད་འདི་ཤེས་མཁན་ཉུང་ཉུང་ཡིན་རྒྱུ་རེད།,I'm assuming there are not many people here who speak Icelandic.,ted2019
ང་མིང་བོ་དང་མཉམ་དུ་བསྡད་དུས་ལོ་གསུམ་ལས་མེད། དེ་དུས་ང་རང་ཧ་ཅང་དགའ་པོ་བྱུང་། ངའི་མི་ཚེ་ནང་ལ་འདུག་གྲོགས་གསར་བ་ཡོད་པས་རེད།,"I was just three years old when my brother came along, and I was so excited that I had a new being in my life.",ted2019
འོན་ཀྱང་། ངས་བསམ་བློ་མ་འཁོར་བ་ཞིག་ནི་ ངས་སྒྲུང་དེབ་ཞིག་བཀླགས་པ་དང་ དེའི་ནང་མི་སྣ་ཚང་མ་ལག་དམར་ཡིན་པ་དེས་ ཨ་རི་ཡོད་ཚད་ཀྱི་ཚབ་མཚོན་ རེད་སྙམ་པ་དེ་རེད།,But it would never have occurred to me to think that just because I had read a novel in which a character was a serial killer that he was somehow representative of all Americans.,ted2019
གྲངས་རིག་དེ་ཤིན་ཏུ་ནུས་པ་ཆེ་བའི་སྐད་བརྡ་ཞིག་ཡིན།,So it turns out that mathematics is a very powerful language.,ted2019
ཆགས་བཞག་ན། “Today i walk”དེ་རིང་ང་ལམ་ལ་བགྲོད།“Yesterday I walked”ཁ་སང་ང་ལམ་ལ་ཕྱིན།,"Yesterday I walked.""",ted2019
དེ་ལས་ཀྱང་དཀོན་པ་ཞིག་ནི། ང་ཡི་གནས་ཚུལ་འདི་ལྟ་བུ་སྟེ། རང་ཉིད་རྟོགས་པའི་འདུ་ཤེས་ཡོད་པ་མ་ཟད། སྐད་རིགས་ལའང་བྱང་ཆ་ཆེ་བ་དེ་རེད།,"And rarer still when accompanied, as in my case, by self-awareness and a mastery of language.",ted2019
ང་འཇིག་རྟེན་བྱེད་མཁན་ལ་ཡིད་ཆེས་བྱེད་ཀྱི་མེད།,I don't believe in God.,Tatoeba-2020.08
ངས་ཨ་ཧྤེ་རི་ཁའི་རྩོམ་པ་པོ་དག་གསར་རྙེད་བྱུང་ནས་ཅི་ཞིག་ཐོབ་འདུག་ཞེ་ན། ངའི་དཔེ་ཆ་བརྗོད་དོན་ནི་རྐྱང་པ་ཞིག་ཡིན་དགོས་སྙམ་པའི་ ལྟ་བ་དེ་ནོར་འཁྲུལ་ཡིན་པ་བསྒྲུབས་པ་རེད།,So what the discovery of African writers did for me was this: It saved me from having a single story of what books are.,ted2019
ངས་ང་ལྟ་བུའི་མི་ དེ་ཡང་བུད་མེད་ཤ་མདོག་སྨུག་ནག་ཅན་དང་ ལྟག་འཆིང་བཟོ་མི་ཐུབ་པའི་འཇུར་མདུད་ཀྱི་སྐྲ་ཅན་ཀྱང་ རྩོམ་རིག་གི་བརྗོད་བྱ་བྱེད་ཆོག་པ་རྟོགས་བྱུང་།,"I realized that people like me, girls with skin the color of chocolate, whose kinky hair could not form ponytails, could also exist in literature.",ted2019
ཕྱི་ལ་སོང་ན་སྐྱོན་མེད་ཚུལ་བརྗོད།,It's good to go outside.,ted2019
དེང་གཉིད་ཆག་གི་རིགས་གསར་བ་ཞིག་གིས་ རང་ཉིད་གཞན་ལས་ཁྱད་དུ་འཕགས་པ་ཡིན་པ་སྟོན་ཐབས་བྱེད་རྒྱུ་དེ་ཡིན།,There is now a kind of sleep deprivation one-upmanship.,ted2019
བརྙན་ལེན་འཕྲུལ་འཁོར་གྱིས་ལག་པའི་བྱ་འགུལ་ཤེས་ཐུབ་པ་མ་ཟད་་་ ད་དུང་་་ རང་གི་ལག་པར་གང་ཞིག་ཉར་ཡོད་པ་ཧ་གོ་ཡི་ཡོད།,"The camera is actually not only understanding your hand movements, but, interestingly, is also able to understand what objects you are holding in your hand.",ted2019
ལྷམ་ཁྱེར་ནས་ཚོང་ཁང་གི་བདག་པོ་ལ། “ང་ལྷམ་ཆ་འདིར་དགའ་པོ་འདུག ཡིན་ཡང་ལྷམ་ཐིག་ལ་སུན་པོ་འདུག”ཅེས་ལབ་ཡིན།,"So I went back to the store and said to the owner, ""I love the shoes, but I hate the laces.""",ted2019
ངས་བྲིས་བའི་སྒྲུང་གི་མི་སྣ་དག་གིས་ལྒ་སྐྱའི་བྷི་ཡར་མང་པོ་འཐུང་། གང་ལེགས་ཞེ་ན། ངས་བཀླགས་པའི་དབྱིན་ཇིའི་སྒྲུང་གི་མི་སྣ་ཚོས་ ལྒ་སྐྱའི་བྷི་ཡར་འཐུང་།,"My characters also drank a lot of ginger beer, because the characters in the British books I read drank ginger beer.",ted2019
འོན་ཀྱང་། ཕྱོགས་གཞན་ཞིག་ནས རྒྱ་ནག་ནི་སིག་ཁི་(SICK)རྒྱལ་ཁབ་ཞིག་རེད། བརྡ་ཆད་འདི་ངོ་དེབ་བཟོ་ཚོང་ཁང་གི་ཡིག་ཆའི་ནང་དུ་བཏོན་འདུག,"But at the same time, on the other hand, China is a SICK country, the terminology coined by Facebook IPO papers -- file.",ted2019
"ཁོང་གིས། ""འགྲོ་དང་འགྲོ ཁང་པ་དེ་དག་འཛུགས་བསྐྲུན་བྱས་པའི་གོ་རིམ་གྱི་སྔ་ཕྱི་ལྟར་འགྲོ་ཡི་ཡོད།","He says, ""Of course they do.",ted2019
མགོ་ཡི་སྐྲ་ལ་གོ་བའང་ཡོད།,It can also mean the fibers that grow from a head.,ted2019
རྩ་གསུམ(3D)གྱི་དབྱིབས་ཆགས་འདུག་ལ། དཀྱིལ་གྱི་བར་སྟོང་དེ་ནས་ ཡང་དབྱིབས་གསར་པ་ཞིག་གྲུབ་འདུག་པ་དེ་ འདི་གཉིས་ཀྱི་བསྒྱུར་ཐོབ་རེད།,"Three-dimensional shapes and the space they create in the middle creates a new shape, the answer to the sum.",ted2019
ཁོང་གིས་དྲ་དམངས་ཚོས་རང་ཉིད་ལ་སྐྱོན་བརྗོད་བྱེད་རྒྱུ་འགོག་འདོད་པ་རེད།,He wanted to prevent the Netizens [from criticizing] him.,ted2019
ཁོང་གྲོངས་རྗེས་སུ། ངས་ད་ཆ་ང་ལ་མི་གཅིག་གིས་ཀྱང་འཕྲིན་ཡིག་གཏོང་གི་མིན་པ་དེ་རྟོགས་བྱུང་།,"After he died, I realized that no one writes to me anymore.",ted2019
ཆུང་དུས་བླངས་མྱོང་བའི་གཞས་གཏོང་དུས་་་ ཁོས་ངའི་བརྗེད་ཟིན་པའི་གཞས་ཚིག་དག་དྲན་གང་ཐུབ་བྱེད། ཁོས་ང་ལ་་་་་་་ ང་ཚོས་རང་གི་དྲན་པ་དེ་རྟོགས་དཀའ་ཞིང་། རྟོགས་དཀའ་བ་དེའང་་་ བདེ་སྐྱིད་ཅིག་རེད་ཅེས་ཟེར།,"When he sings songs from our childhood, attempting words that not even I could remember, he reminds me of one thing: how little we know about the mind, and how wonderful the unknown must be.",ted2019
རང་གིས་མཐོང་བ་ཚང་མ་ང་རང་གིས་་་ རྒྱ་གར་ལ་བསྡད་དུས་སྦྱངས་པ་ཤ་སྟག་ཡིན།,All of this work that you have seen is all about my learning in India.,ted2019
ངའི་མཉམ་ལས་རོཊ་པErezདང་ངེད་གཉིས་ཀྱིས་གཤམ་གྱི་དོན་དག་ལ་བསམ་བློ་བཏང་པ་ཡིན། དོན་དག་གང་ཡིན་ཟེར་ན། དུས་རབས་མི་གཅིག་པའི་རྒྱལ་པོ་གཉིས་ཀྱིས་ སྐད་རིགས་མི་འདྲ་བའི་ལམ་ནས་ཁ་བརྡ་བྱེད་ཅིང་།,So my collaborator Erez and I were considering the following fact: that two kings separated by centuries will speak a very different language.,ted2019
དེར་བརྟེན། ཞུ་གཏུག་བྱེད་མཁན་ཏེ་གནོད་ཐེབས་ཞིང་པ་ཚོ་མེ་འཁོར་ལ་བསྡད་དེ་པེ་ཅིང་དབུས་གཞུང་དུ་ཞུ་གཏུག་ལ་ཡོང་ཚེ། ཁོང་ཚོས་དཀའ་རྙོག་དེ་གོང་མས་སེལ་བའི་རེ་བ་བྱེད་ཀྱི་ཡོད།,"So that's why the petitioner, the victims, the peasants, want to take the train to Beijing to petition to the central government, they want the emperor to settle the problem.",ted2019
བྱས་ཙང་ཁོང་ལྟ་བུའི་རི་མོ་ལ་བློ་བཀལ་བ་ཞིག་གིས་ཀྱང་ ལན་རེར་རང་ཉིད་རི་མོ་བྲིས་ཡོད་ཤག་ཤག་ཡིན།,"So, surely a passionate drawer like Leonardo must have made self-portraits from time to time.",ted2019
ཡང་སྙིང་གནས་ཚུལ་ག་རེ་བྱུང་བ་རེད། གཟིགས་དང་། འཛམ་གླིང་ཡུལ་གྲུ་ཀུན་གྱི་གྲོང་ཚོའི་ནང་མི་གཅིག་ཀྱང་མཐོང་ས་མེད་འདུག,"Well, villages of the world are emptying out.",ted2019
ས་ཁྲ་འདི་ཡང་ཏག་ཏག་ཞིག་ཡིན།,And this map is also accurate.,ted2019
དེ་བས། ང་ཚོས་ལོ་རེར་པར་མཚུངས་པ་རེ་བླངས་པ་ཡིན། ང་ཚོའི་མཐོང་སྣེ་འདྲ་ཡི་མ་རེད། བུ་མོ་མོ་རང་གི་ལམ་ལ་འཇུག་རྒྱུ་དང་། ངས་མོའི་མིག་ཟུང་ལས་་་ མོས་ཅི་བྱེད་མིན། ཇི་ལྟར་བྱེད་མིན་ལ་བལྟས་པ་ཡིན།,"Because while we take the same photo, our perspectives change, and she reaches new milestones, and I get to see life through her eyes, and how she interacts with and sees everything.",ted2019
ངས་ལག་བརྡ་མྱུལ་ཞིབ་ཐུབ་པའི་མཐུད་ཁའི་སྒྲིག་ཆས་ཤིག་བཟོས་པ་ཡིན། བྱ་འགུལ་མྱུལ་ཞིབ་སྒྲིག་ཆས་ཤིག་དང་འདྲ་པོ་ཡོད། མ་གནས་ལ་ཨ་སྒོར་གཉིས་ལས་མི་དགོས།,What I got is basically a gesture-interface device that actually acts as a motion-sensing device made for two dollars.,ted2019
འཆི་བ་ནི་འགོག་ཐབས་མེད་པའི་ཞེད་སྣང་ཆེན་པོ་ཞིག་ཡིན་ཀྱང་། ངས་དངོས་ཡོད་ཐོག་བཤད་འདོད་པ་ནི། མི་ཞིག་འཇིག་རྟེན་དང་བྲལ་རྗེས་སུ་ཤུལ་དུ་བཞག་པའི་ཤུལ་རྗས་ཀྱི་ང་རང་ཧང་སངས་བཅུག་སོང་བས།,"It's inevitable, terrible, but really what I want to talk about is, I'm just fascinated by the legacy people leave when they die.",ted2019
ཡང་མིན་ན་རྒྱ་གར་ལ་ཡིན། མ་འོངས་ལ་དུས་ཚོད་ཇི་ལྟར་བགོ་བསྒྲིག་གམ།,How are you going to split your time going forward?,ted2019
PM: ངས་ད་ལྟ་ལག་རྩལ་འདི་ཁྱབ་དེ་བས་ཆེ་བའི་ངང་བེད་སྤྱོད་བྱེད་པར་འབད་པ་བྱེད་ཀྱིན་ཡོད་པ་ནི་་་ ཚང་མས་རང་ཉིད་ཀྱི་༼ དབང་པོ་ཨང་དྲུག་པ ༽ཡི་སྒྲིག་ཆས་གསར་བཟོ་ཐུབ་པིའ་ཆེད་དུ་ཡིན། མཁྲེཊ་ཆས་ནི་དོན་དངོས་ཐོག་བཟོ་ཁག་པོ་མེད། སོ་སོས་བཟོས་ཀྱང་ལས་སླ་པོ་རེད།,"PM: I'm trying to make this more available to people so that anyone can develop their own SixthSense device, because the hardware is actually not that hard to manufacture or hard to make your own.",ted2019
གྲོང་ཁྱེར་ནང་སློབ་གསོའི་གོ་སྐབས་རག་ཐུབ་ཀྱང་།,Education is the main event that can happen in cities.,ted2019
ངས་ཚང་མར་ལྡོག་ཕྱོགས་ཀྱི་དཔེ་འགའ་འདྲེན།,I want to show you a couple of examples why.,ted2019
ཁྱེད་ཀྱིས་ཤེས་གསལ། མི་ཆ་མེད་ཅིག་ལ་པར་ཆས་སྤྲོད་རྒྱུ་དེ་་ དངོས་གནས་སྤྱིར་བཏང་རེད་ལ་ཡང་རྒྱུན་ལྡན་ཞིག་མ་རེད།,"You know, it's remarkable how universal the gesture is of handing your camera to a total stranger.",ted2019
